Datetime (UTC),Country,Zone name,Zone id,Carbon intensity gCO₂eq/kWh (direct),Carbon intensity gCO₂eq/kWh (Life cycle),Carbon-free energy percentage (CFE%),Renewable energy percentage (RE%),Data source,Data estimated,Data estimation method
2021-05-18 00:00:00,Kenya,Kenya,KE,41.60,95.49,89.75,89.75,IEA + Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2021-05-19 00:00:00,Kenya,Kenya,KE,42.44,97.23,89.55,89.55,IEA + Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2021-05-20 00:00:00,Kenya,Kenya,KE,41.65,95.87,89.74,89.74,IEA + Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2021-05-21 00:00:00,Kenya,Kenya,KE,40.76,94.42,89.96,89.96,IEA + Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2021-05-22 00:00:00,Kenya,Kenya,KE,39.07,91.82,90.38,90.38,IEA + Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2021-05-23 00:00:00,Kenya,Kenya,KE,38.06,90.33,90.63,90.63,IEA + Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2021-05-24 00:00:00,Kenya,Kenya,KE,41.41,95.47,89.80,89.80,IEA + Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2021-05-25 00:00:00,Kenya,Kenya,KE,42.14,96.60,89.62,89.62,IEA + Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2021-05-26 00:00:00,Kenya,Kenya,KE,41.98,96.31,89.66,89.66,IEA + Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2021-05-27 00:00:00,Kenya,Kenya,KE,41.78,96.09,89.71,89.71,IEA + Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2021-05-28 00:00:00,Kenya,Kenya,KE,41.38,95.54,89.81,89.81,IEA + Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2021-05-29 00:00:00,Kenya,Kenya,KE,39.77,93.30,90.20,90.20,IEA + Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2021-05-30 00:00:00,Kenya,Kenya,KE,38.15,90.59,90.60,90.60,IEA + Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2021-05-31 00:00:00,Kenya,Kenya,KE,40.64,93.99,89.99,89.99,IEA + Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2021-06-01 00:00:00,Kenya,Kenya,KE,42.19,96.65,89.61,89.61,IEA + Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2021-06-02 00:00:00,Kenya,Kenya,KE,41.74,95.87,89.72,89.72,IEA + Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2021-06-03 00:00:00,Kenya,Kenya,KE,41.22,95.18,89.85,89.85,IEA + Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2021-06-04 00:00:00,Kenya,Kenya,KE,41.02,94.81,89.90,89.90,IEA + Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2021-06-05 00:00:00,Kenya,Kenya,KE,39.33,92.33,90.31,90.31,IEA + Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2021-06-06 00:00:00,Kenya,Kenya,KE,38.22,90.74,90.59,90.59,IEA + Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2021-06-07 00:00:00,Kenya,Kenya,KE,40.75,94.17,89.96,89.96,IEA + Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2021-06-08 00:00:00,Kenya,Kenya,KE,41.69,95.70,89.73,89.73,IEA + Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2021-06-09 00:00:00,Kenya,Kenya,KE,41.99,96.36,89.66,89.66,IEA + Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2021-06-10 00:00:00,Kenya,Kenya,KE,41.46,95.54,89.79,89.79,IEA + Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2021-06-11 00:00:00,Kenya,Kenya,KE,40.82,94.48,89.95,89.95,IEA + Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2021-06-12 00:00:00,Kenya,Kenya,KE,39.42,92.58,90.29,90.29,IEA + Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2021-06-13 00:00:00,Kenya,Kenya,KE,37.73,90.00,90.71,90.71,IEA + Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2021-06-14 00:00:00,Kenya,Kenya,KE,41.60,95.96,89.75,89.75,IEA + Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2021-06-15 00:00:00,Kenya,Kenya,KE,42.37,97.15,89.56,89.56,IEA + Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2021-06-16 00:00:00,Kenya,Kenya,KE,42.35,97.11,89.57,89.57,IEA + Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2021-06-17 00:00:00,Kenya,Kenya,KE,42.37,97.39,89.56,89.56,IEA + Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2021-06-18 00:00:00,Kenya,Kenya,KE,41.57,95.98,89.76,89.76,IEA + Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2021-06-19 00:00:00,Kenya,Kenya,KE,39.77,93.18,90.20,90.20,IEA + Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2021-06-20 00:00:00,Kenya,Kenya,KE,38.41,91.12,90.54,90.54,IEA + Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
