STRUCTURE,STRUCTURE_ID,ACTION,FREQ,FREQ_LABEL,REF_AREA,REF_AREA_LABEL,INDICATOR,INDICATOR_LABEL,SEX,SEX_LABEL,AGE,AGE_LABEL,URBANISATION,URBANISATION_LABEL,UNIT_MEASURE,UNIT_MEASURE_LABEL,COMP_BREAKDOWN_1,COMP_BREAKDOWN_1_LABEL,COMP_BREAKDOWN_2,COMP_BREAKDOWN_2_LABEL,COMP_BREAKDOWN_3,COMP_BREAKDOWN_3_LABEL,TIME_PERIOD,OBS_VALUE,AGG_METHOD,AGG_METHOD_LABEL,DATABASE_ID,DATABASE_ID_LABEL,UNIT_MULT,UNIT_MULT_LABEL,UNIT_TYPE,UNIT_TYPE_LABEL,TIME_FORMAT,TIME_FORMAT_LABEL,OBS_STATUS,OBS_STATUS_LABEL,OBS_CONF,OBS_CONF_LABEL
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,KHM,Cambodia,WB_SE4ALL_EG_FEC_TOT,Total final energy consumption (PJ),_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PJ,PetaJoules (PJ),_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,1990,,W_AVG,Weighted Average,WB_SE4ALL,Sustainable Energy For All (SE4ALL),0,Units,NUMBER,Number (real number),602,CCYY,O,Missing value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,CMR,Cameroon,WB_SE4ALL_EG_FEC_TOT,Total final energy consumption (PJ),_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PJ,PetaJoules (PJ),_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,1990,197.2,W_AVG,Weighted Average,WB_SE4ALL,Sustainable Energy For All (SE4ALL),0,Units,NUMBER,Number (real number),602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,CAN,Canada,WB_SE4ALL_EG_FEC_TOT,Total final energy consumption (PJ),_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PJ,PetaJoules (PJ),_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,1990,6005.1,W_AVG,Weighted Average,WB_SE4ALL,Sustainable Energy For All (SE4ALL),0,Units,NUMBER,Number (real number),602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,CYM,Cayman Islands,WB_SE4ALL_EG_FEC_TOT,Total final energy consumption (PJ),_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PJ,PetaJoules (PJ),_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,1990,2.0,W_AVG,Weighted Average,WB_SE4ALL,Sustainable Energy For All (SE4ALL),0,Units,NUMBER,Number (real number),602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,CAF,Central African Republic,WB_SE4ALL_EG_FEC_TOT,Total final energy consumption (PJ),_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PJ,PetaJoules (PJ),_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,1990,30.0,W_AVG,Weighted Average,WB_SE4ALL,Sustainable Energy For All (SE4ALL),0,Units,NUMBER,Number (real number),602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,TCD,Chad,WB_SE4ALL_EG_FEC_TOT,Total final energy consumption (PJ),_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PJ,PetaJoules (PJ),_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,1990,41.3,W_AVG,Weighted Average,WB_SE4ALL,Sustainable Energy For All (SE4ALL),0,Units,NUMBER,Number (real number),602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,CHL,Chile,WB_SE4ALL_EG_FEC_TOT,Total final energy consumption (PJ),_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PJ,PetaJoules (PJ),_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,1990,426.3,W_AVG,Weighted Average,WB_SE4ALL,Sustainable Energy For All (SE4ALL),0,Units,NUMBER,Number (real number),602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,CHN,China,WB_SE4ALL_EG_FEC_TOT,Total final energy consumption (PJ),_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PJ,PetaJoules (PJ),_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,1990,25737.6,W_AVG,Weighted Average,WB_SE4ALL,Sustainable Energy For All (SE4ALL),0,Units,NUMBER,Number (real number),602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,HKG,"Hong Kong SAR, China",WB_SE4ALL_EG_FEC_TOT,Total final energy consumption (PJ),_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PJ,PetaJoules (PJ),_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,1990,210.8,W_AVG,Weighted Average,WB_SE4ALL,Sustainable Energy For All (SE4ALL),0,Units,NUMBER,Number (real number),602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,MAC,"Macao SAR, China",WB_SE4ALL_EG_FEC_TOT,Total final energy consumption (PJ),_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PJ,PetaJoules (PJ),_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,1990,7.1,W_AVG,Weighted Average,WB_SE4ALL,Sustainable Energy For All (SE4ALL),0,Units,NUMBER,Number (real number),602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,COL,Colombia,WB_SE4ALL_EG_FEC_TOT,Total final energy consumption (PJ),_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PJ,PetaJoules (PJ),_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,1990,783.4,W_AVG,Weighted Average,WB_SE4ALL,Sustainable Energy For All (SE4ALL),0,Units,NUMBER,Number (real number),602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,COM,Comoros,WB_SE4ALL_EG_FEC_TOT,Total final energy consumption (PJ),_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PJ,PetaJoules (PJ),_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,1990,2.8,W_AVG,Weighted Average,WB_SE4ALL,Sustainable Energy For All (SE4ALL),0,Units,NUMBER,Number (real number),602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,COG,"Congo, Rep.",WB_SE4ALL_EG_FEC_TOT,Total final energy consumption (PJ),_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PJ,PetaJoules (PJ),_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,1990,25.3,W_AVG,Weighted Average,WB_SE4ALL,Sustainable Energy For All (SE4ALL),0,Units,NUMBER,Number (real number),602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,COK,Cook Islands,WB_SE4ALL_EG_FEC_TOT,Total final energy consumption (PJ),_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PJ,PetaJoules (PJ),_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,1990,0.5,W_AVG,Weighted Average,WB_SE4ALL,Sustainable Energy For All (SE4ALL),0,Units,NUMBER,Number (real number),602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,CRI,Costa Rica,WB_SE4ALL_EG_FEC_TOT,Total final energy consumption (PJ),_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PJ,PetaJoules (PJ),_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,1990,61.1,W_AVG,Weighted Average,WB_SE4ALL,Sustainable Energy For All (SE4ALL),0,Units,NUMBER,Number (real number),602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,CIV,Cote d'Ivoire,WB_SE4ALL_EG_FEC_TOT,Total final energy consumption (PJ),_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PJ,PetaJoules (PJ),_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,1990,119.2,W_AVG,Weighted Average,WB_SE4ALL,Sustainable Energy For All (SE4ALL),0,Units,NUMBER,Number (real number),602,CCYY,A,Normal value,PU,Public
