Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,07/10/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Chile,CHL,"Electricity production from oil, gas and coal sources (% of total)",EG.ELC.FOSL.ZS,46.1626388,29.02660187,17.30537048,18.3352081,25.73485778,27.59481928,39.54706667,37.86527315,51.82911375,61.96926283,51.45216827,45.73840258,44.54901422,49.84304598,53.09912514,46.11691182,44.74511931,55.84440001,54.25097146,51.01281249,59.61213886,60.40357311,63.55464438,64.10867036,56.69441578,56.41127642,56.74238032,56.0980829,53.75581438,53.41777242,51.30427536,51.15771774,44.67748492,36.41778486,
China,CHN,"Electricity production from oil, gas and coal sources (% of total)",EG.ELC.FOSL.ZS,79.59206011,81.52886921,82.41531633,81.68342281,80.32189777,79.51263699,81.12049174,81.2182187,80.7311349,82.11289858,82.12597124,79.86169679,80.86265933,82.69511266,81.48696938,81.70185078,82.49361295,82.84347871,80.28994703,80.24837277,79.19744638,80.98637738,77.71469821,77.27266636,75.13582766,72.83648504,71.33478326,70.90025776,69.57989977,67.94410244,66.62811159,66.24986874,64.79540073,64.40353222,
Cote d'Ivoire,CIV,"Electricity production from oil, gas and coal sources (% of total)",EG.ELC.FOSL.ZS,33.33333333,30.98514034,43.35135135,49.7714808,50.27530707,39.46386155,45.3038674,53.38625651,65.76330184,63.587295,63.25,63.15250768,67.34038534,63.98663259,66.33393829,72.76887872,71.31741821,66.04510744,65.24137931,62.4765798,71.71835708,69.86391212,73.5604333,78.11764706,76.06806662,83.26446281,82.83527315,79.37244709,69.91352748,66.99586155,69.43604341,76.13852814,75.8988764,,
Cameroon,CMR,"Electricity production from oil, gas and coal sources (% of total)",EG.ELC.FOSL.ZS,1.520207638,1.439114391,1.278772379,1.059322034,1.176470588,1.149012567,1.13753878,1.150895141,1.641414141,1.244075829,1.091954023,1.89212087,3.575757576,4.234527687,4.622871046,5.794205794,11.18292205,25.17642571,24.1506777,29.32226833,26.77966102,24.69615125,21.20991254,30.37280702,35.72047358,44.84658735,36.28400796,36.38724036,40.81965304,37.63998585,41.8150289,32.53901307,28.57429316,,
"Congo, Dem. Rep.",COD,"Electricity production from oil, gas and coal sources (% of total)",EG.ELC.FOSL.ZS,0.442477876,0.416587767,0.312860201,0.306582507,0.338855422,0.291403594,0.294647242,0.376759865,0.401861252,0.4522329,0.050158836,0.083878544,0.131169044,0.113858165,0.113186191,0.094799567,0.609029525,1.101544695,1.281543136,1.093035079,1.085584448,1.111251421,0.118234367,0.107874865,0.124279742,0.178691088,0.153189627,0.073560319,0.055263885,0.042311924,0.039961637,0.015166452,0.030188679,,
"Congo, Rep.",COG,"Electricity production from oil, gas and coal sources (% of total)",EG.ELC.FOSL.ZS,0.60851927,0,0.934579439,0.828729282,0.617283951,0.564971751,0.436681223,0.441501104,0.581395349,14.41441441,0.334448161,0.041297935,0.143939394,14.32080201,14.44516129,18.06004619,17.92715232,17.73464373,18.70281996,38.7755102,45.28061224,38.82443929,42.04823529,42.57314149,42.30211817,60.32490975,61.80155774,59.37921727,64.5994832,76.77154583,76.30208333,75.65196198,77.45860762,,
Colombia,COL,"Electricity production from oil, gas and coal sources (% of total)",EG.ELC.FOSL.ZS,23.61580989,24.31738308,31.33499271,26.74602557,21.50740177,23.5953741,17.00797934,28.35556552,30.25369178,20.13918079,24.47195752,25.65825815,23.49271888,21.20867081,18.34653903,19.82758621,19.39671204,18.46393395,15.98713022,27.11876268,29.29951014,18.1082863,21.94085522,30.57661383,30.63935164,36.3631737,34.09114583,20.68491423,23.14445431,29.90735559,34.20910382,21.74078569,24.18597079,30.31399478,
Comoros,COM,"Electricity production from oil, gas and coal sources (% of total)",EG.ELC.FOSL.ZS,,,,,,,,,,,100,100,89.96319839,87.41742686,87.80487805,88.34498834,87.51248751,90.34749035,89.58333333,90.27237354,92.71137026,91.98717949,92.11356467,91.81669394,91.30434783,100,100,100,100,100,100,100,,,
Cabo Verde,CPV,"Electricity production from oil, gas and coal sources (% of total)",EG.ELC.FOSL.ZS,,,,,,,,,,,96.88995215,97.83637203,96.83745879,97.29688916,97.06137745,97.26764382,97.03491153,97.44153136,98.07207838,98.42194379,98.78705402,92.95281801,80.99128981,78.72166424,77.78911988,79.73446476,81.40231542,82.36360213,79.20255109,81.34183719,83.18189406,81.73440507,,,
Costa Rica,CRI,"Electricity production from oil, gas and coal sources (% of total)",EG.ELC.FOSL.ZS,2.479815456,5.124223602,17.16205212,10.07736156,9.853420195,17.25056341,9.287796751,3.047585101,8.14705339,2.152800259,0.852724382,1.482579689,1.621262458,2.106534281,0.803408399,3.280871671,6.128550075,7.977900552,7.145872915,4.844253491,6.688928311,8.777461351,8.158049931,11.68539326,10.20847607,0.998890122,1.765459202,0.325790262,1.371408732,0.826733966,0.196095149,0.015702285,0.725952813,5.061605062,
